BarCode;MATERIAL
4607123280980;1177946
4640010209916;1277493
4606284012027;1252474
4601201005724;1004202
8001090138552;1276127
4630016230779;1258136
8000420022790;1221960
4680320000339;1276583
5000159445146;1178991
8710438078220;1180252
8436559521932;1271841
2490433000000;2012525
8591022239803;1204320
7610859153159;1268409
96045299;1204655
8714100717653;1277780
4602445000926;1240178
4627074431644;1255350
4607011143724;1238825
5060255351284;1268978
7640123861893;1270270
2302476000000;2001112
5907471414228;1181373
4605664003204;1235009
4810168006013;1101567
2100010567796;1090565
2370799000000;1270109
8410179005577;1039422
2255655963158;1288428
4605476001061;1197988
4670002943849;1278702
3600523018291;1259233
4605622009767;1287676
2369396000000;1262319
4015400481928;1192738
5706773100415;1220238
4810039025402;1261222
2100010793911;1164133
4607052660648;1172047
2368598000000;1255045
6934624484875;1287213
4014400924572;1287879
4607058971861;1280990
4607174435988;1282531
4601899004511;1133977
4640020931098;1287585
8300497062720;1284086
2306760000000;2003857
2353971000000;1090576
2370038000000;1266397
4810344035226;1285468
2321920000000;2006745
2372422000000;1281756
4607136136953;1288644
4660001604032;1250373
8711700691482;1204657
8300491191907;1016542
4630007830711;1274696
8591022386026;1271366
4690591017790;1285677
4620007690064;1274382
4605142021126;1248626
4606180011865;1172239
1080000010857;1258219
4607025398462;1043295
8719202327977;1286087
8711000251034;1122205
4605319006826;1236382
9785990016729;1238347
4660001803206;1247343
4620006001298;1249287
4770119211777;1215422
4600605022634;1271258
5904134829818;1284362
5904134285560;1284449
8308583553091;1132113
8002550505945;1136104
3838600048774;1005860
3838942042713;1279962
4811084002066;1279767
4605629002020;1098863
4823002004564;1170291
2366073000000;2011248
8004260468879;1279497
4680007212901;1282393
2302186000000;1095527
4607080061707;1280157
2100010695987;1136518
5055539122544;1279961
4650061341695;1245694
4791021002802;1194374
4008576107426;1064811
54881013604;1268859
2100010747945;1148694
4603552006269;1167150
4606088020167;1286924
4610014311410;1284898
4607139650890;1287910
4811084002165;1277790
4690383004243;1286818
4640010203679;1250871
2490033000000;2011303
2300398000000;2001182
8591651485572;1057111
4690460027370;1263962
9001414014844;1281649
4640010206236;1253694
8000020000013;1012559
2491360000000;2010504
4603421200392;1042203
4680000720236;1239690
8412276686321;1085523
5900861142473;1170714
3035138005693;1086539
2359697000000;1159334
8001291779912;1195843
4640001730238;1247276
4015100180268;1280872
4607134380778;1278370
2308235000000;2006514
3077050401009;1027910
4699301415604;1258325
3086123273504;1246551
4607179351252;1118018
4607065001452;1223860
7622210770639;1281712
4005808302628;1112856
2100010899354;1209201
4607121293906;1279660
2370001000000;1266053
2490451000000;2012362
2490154000000;2012049
4607053474879;1069268
4690591021261;1286999
4630007983103;1225994
4607021751285;1257429
6988600090789;1272308
4600721013332;1251067
2490423000000;2012495
2303057000000;2001186
4607174437159;1282507
4623720848163;1240589
2360257000000;2008469
2361253000000;1176330
4630007836225;1271307
4650064810594;1279432
4630007834825;1264368
4810268010255;1013845
4605362008495;1284720
2365961000000;1236544
2372812000000;2013837
2491154000000;2013721
2361921000000;1183350
5903116715347;1194798
3600522409670;1238515
4607177073170;1144046
4640001730696;1273380
8594002271169;1216831
4607072903701;1204749
4670009100627;1287591
4601662003536;1257797
2307602000000;2005024
7622300789114;1205678
4601126221049;1050410
2490057000000;2011508
5000281036748;1275793
4650058305709;1283965
8591022399798;1276491
4610011220425;1212754
3600541352902;1232945
4607065003944;1240898
8595598807497;1286320
4600657404389;1111177
4607063411000;1262783
7311311003622;1283570
7322540060133;1007742
4607052402606;1275223
4607006444171;1285419
4690361056547;1277986
2372068000000;1110870
4008871100016;1181850
5029053542652;1214382
2306666000000;1043136
4680019153186;1287532
6965553110450;1217621
4750001818918;1247347
50096732;1003709
4627103782464;1284756
6006431000729;1095197
4640021474693;1284958
5060255351727;1268984
4627098460149;1251162
4679999000146;1252264
5449000000996;1034745
4601780000776;1042118
8712561195577;1250522
4670000180086;1224427
2354627000000;1112219
4607002228546;1272605
2100011041844;1285019
2307307000000;2004721
5000159381161;1038118
4606284002479;1246910
4607012240347;1246719
4640010209824;1280345
4607084412888;1012409
8033120610035;1225716
2490388000000;2012416
2369589000000;2012597
2100010977519;1239060
2490370000000;2012390
2366674000000;1242674
4607064221462;1257459
4607039920468;1044590
26102023655;1176933
7622210503916;1279729
4008576003728;1064815
8011780009499;1041075
2100010899279;1209191
2368225000000;1252219
4605246007101;1133068
8722700250227;1004906
8591022373200;1261269
8801128541909;1108413
6009631321519;1264242
2100011042773;1285111
4602606003711;1001669
4604248008635;1252647
4810226004647;1158301
2490508000000;2012734
4607016281230;1204222
4015000996488;1220197
8717163340561;1003714
8714100709771;1288361
4606547000280;1042141
4607161629611;1180841
5900516303457;1227930
2307304000000;2004737
8887856593113;1286645
4607086110676;1019307
4740136003013;1268134
4601132998942;1261155
4620015850597;1257332
2364200000000;2010224
7702018388677;1253992
2100010811523;1170028
4607011665974;1256924
2306040000000;2004239
4690590107782;1286910
4750605312607;1237291
1110000023257;1278666
8007063121408;1242700
2491167000000;2013755
4607174439504;1282481
2301290000000;2001141
2490061000000;2011532
7854897240956;1242129
4606088015811;1287021
4607112732544;1285845
2352676000000;1036607
2353563000000;1088980
4000196926241;1048010
4606272024094;1203708
2372451000000;1282233
4607012560407;1000126
4810268027291;1239865
4602009417528;1278905
2100010864796;1196758
8718158699824;1271782
5902704999992;1051098
2100011043329;1285165
4607163097487;1206599
4601713001702;1094992
6900000085172;1288439
4601780006495;1032894
9073215112210;1124981
2012138507151;1272345
2367733000000;2011901
5000394052543;1057724
4607071487646;1287756
7610121710318;1105343
4606259461751;1270838
4603883019488;1153981
3059944022866;1172196
7613036010221;1283730
2369004000000;2012451
2305302000000;1053612
46141538;1238313
2366449000000;1241495
4810168000011;1034563
4600171327737;1247120
4607030636597;1252633
4627094640255;1257064
7702018072804;1200580
4601032504090;1231389
4631139925955;1284704
4607002990184;1266994
8711700881456;1222084
4603421357874;1276110
3250220598819;1279786
6900013497979;1273147
4015400481164;1189787
4601674009281;1177337
4005808781447;1223159
4607174437449;1282266
5413149333529;1107066
5702015865968;1285336
6965049080410;1285538
4601201051806;1263833
8690506473617;1267393
5903111819460;1268416
5010677945059;1054471
9001414010662;1148277
4811473033497;1194139
2354730000000;1112701
5706773134403;1211611
5410376822826;1146430
2362723000000;1197166
4009175170941;1026784
2302818000000;1013132
4770190036054;1002118
2009800136320;1287394
8719202307696;1285980
4601296004480;1277201
4607145062205;1265111
4860019001810;1283159
4008576010627;1064786
4601674034771;1268842
8719202174182;1281897
5903355070771;1254162
4751026830077;1288015
8011780009352;1021562
2358214000000;1145474
4013197767003;1149625
3068320055008;1015608
4607061508429;1263848
6900000084823;1288266
4600338007564;1265274
4620000676133;1271129
4260283250578;1281640
9001414015469;1005967
4084500979550;1267541
2500000091605;1118110
2368319000000;1253114
4690228028946;1206595
7613034869067;1249917
5413149601413;1083011
2100010739735;2007747
2100010747952;1148695
8000428006600;1248966
2490493000000;2012649
4015001004380;1251188
4601347005831;1240204
8591022377086;1273345
2100011042728;1285106
4680007810053;1167047
4006894554908;1186480
5000281002880;1196254
4620012280458;1280868
4744183019256;1282822
4607030642314;1288373
2100011041295;1284595
2354094000000;1090923
4606811000855;1268608
8711295251726;1226686
5060042641437;1231843
2372135000000;1279522
8594002310073;1097535
4607024181379;1261143
4003301046865;1143441
4811168003873;1255063
8051403029800;1269920
8693048040200;1191152
7622210413178;1255265
4810213010262;1275490
4607088544370;1285855
4891212300523;1276823
2491055000000;2013585
4607174430839;1177780
9120048699989;1280036
4623720806736;1265775
4601686004007;1111142
4018873001655;1252200
4811473063326;1271320
7930061180065;1276401
8308583628706;1016465
2100011043428;1285175
6900201600433;1273576
4627103780200;1281510
8591022320433;1228399
2490798000000;2013129
5904134205360;1284254
2370325000000;2012904
7622210295255;1258969
4606284012713;1268846
7622210210807;1232983
8595598808111;1286318
4607044603639;1202690
4605319006284;1233796
4600577004133;1279445
6900000084731;1288303
4607180310064;1238900
4604049091744;1255692
4660014250653;1275569
4607078140575;1098667
4603334001499;1271339
2100010966995;2011116
4640010547827;1270547
4810089311098;1237529
8719202320046;1285968
4607065379421;1279304
46024756;1041406
8719202282597;1286108
4607065378387;1277873
3543534311305;1241156
4606207174238;1287113
4008576105651;1064752
4680036910700;1276934
2100010941190;2010788
8850813508000;1212577
4623721124532;1270584
6900023606781;1287848
2307050000000;2003920
4627074434720;1281453
2372423000000;1281757
4607068627505;1253450
2365354000000;1230846
2301050000000;1031562
8690506094126;1032676
3600541135703;1197358
4601899000070;1101696
8801056009212;1269171
5410076454693;1255822
4610016197876;1286388
8308583390597;1082351
5449000156303;1121335
4620754640022;1218221
4607052662482;1265057
5900288180157;1266827
4770190076630;1271686
4680007203459;1246587
8591022406205;1278898
8693911003226;1033546
9311832314007;1108486
5906534000040;1204732
4640009691104;1279806
2360662000000;2008625
8011510013109;1267139
4660011131849;1281046
4600494522024;1222243
5904134279170;1284400
2491135000000;2013709
4601033137785;1030498
4605157000123;1045074
4015400895572;1272060
3574661307152;1272440
4770190038430;1044917
